query,resultScore,result.@type,result.description,result.name,,
google,203191,"['Organization', 'Thing']",company,Google,,
google,49462,"['WebSite', 'Thing']",Google,Search,,
google,19142,"['WebSite', 'Thing']",nan,Gmail,,
google,13251,"'WebSite', 'Thing']",Website,Maps,,
google,7549,"['SoftwareApplication', 'Thing']",Website,Drive,,
google,6853,"['WebSite', 'Thing']",Website,Play,,
google,6543,"['SoftwareApplication', 'Thing']",browser,Chrome,,
google,4312,"['SoftwareApplication', 'Thing']",company,Inc.,,
google,3395,"['WebSite', 'Thing']",nan,Account,,
google,1306,"['WebSite', 'Thing']",nan,Google,,
